date_id,datetime_id,market,rpt_key,last,diff_24h,diff_per_24h,bid,ask,low,high,volume,created_at,updated_at
2017-06-01,2017-06-01 10:32:00,bitflyer,eth_btc,0.0965,0.10598,-8.9450839781,0.0965,0.09777,0.0965,0.09777,15397.4529373,2017-06-01 01:31:37,2017-06-01 01:31:37
2017-06-01,2017-06-01 10:32:00,korbit,eth_krw,293000,326700,-10.3152739516,292900,293750,274000,329450,245693.0347891882,2017-06-01 01:31:37,2017-06-01 01:31:37
2017-06-01,2017-06-01 10:32:00,bitflyer,fx_btc_jpy,273050,263773,3.5170392724,273050,273482,273050,273482,65750.4297122,2017-06-01 01:31:37,2017-06-01 01:31:37
2017-06-01,2017-06-01 10:32:00,okcoin,ltc_usd,27.168,24.617,10.362757444,27.17,27.176,23.2,27.35,225602.615,2017-06-01 01:31:37,2017-06-01 01:31:37
2017-06-01,2017-06-01 10:33:00,bitstamp,btc_eur,2080.54,1994.83,4.2966067284,2073.16,2080.87,1955.9,2083.99,2140.83123977,2017-06-01 01:32:38,2017-06-01 01:32:38
2017-06-01,2017-06-01 10:33:00,bitflyer,btc_jpy,268002,264580,1.2933706251,268002,268103,268002,268103,65734.5438773,2017-06-01 01:32:38,2017-06-01 01:32:38
2017-06-01,2017-06-01 10:33:00,korbit,btc_krw,3055500,3141000,-2.7220630372,3055500,3055500,3002000,3150000,6466.27588529,2017-06-01 01:32:38,2017-06-01 01:32:38
2017-06-01,2017-06-01 10:33:00,bitstamp,btc_usd,2325.05,2221.78,4.6480749669,2325.08,2331.53,2154.28,2334,16746.9232251,2017-06-01 01:32:38,2017-06-01 01:32:38
2017-06-01,2017-06-01 10:33:00,okcoin,btc_usd,2431.99,2209.12,10.0886325777,2431.97,2431.99,2129.78,2465.37,4941.085,2017-06-01 01:32:38,2017-06-01 01:32:38
2017-06-01,2017-06-01 10:33:00,korbit,etc_krw,21780,24320,-10.4440789474,21780,21800,21000,24340,642121.9344632046,2017-06-01 01:32:38,2017-06-01 01:32:38
2017-06-01,2017-06-01 10:33:00,bitflyer,eth_btc,0.0965,0.106,-8.9622641509,0.0965,0.09676,0.0965,0.09676,15385.4015316,2017-06-01 01:32:38,2017-06-01 01:32:38
2017-06-01,2017-06-01 10:33:00,korbit,eth_krw,293000,327000,-10.3975535168,292900,293000,274000,329450,245559.0461809379,2017-06-01 01:32:38,2017-06-01 01:32:38
2017-06-01,2017-06-01 10:33:00,bitflyer,fx_btc_jpy,273446,264112,3.5341067426,273300,273446,273300,273446,65734.5438773,2017-06-01 01:32:38,2017-06-01 01:32:38
2017-06-01,2017-06-01 10:33:00,okcoin,ltc_usd,27.176,24.56,10.651465798,27.17,27.189,23.2,27.35,225574.812,2017-06-01 01:32:38,2017-06-01 01:32:38
2017-06-01,2017-06-01 10:34:00,bitstamp,btc_eur,2080.54,1994.47,4.3154321699,2074.95,2080.88,1955.9,2083.99,2140.83123977,2017-06-01 01:33:38,2017-06-01 01:33:38
